Institution Name,Region,Institution Type,AI Tool,Tool Category,Adoption Year,Usage %,Satisfaction %,Student_Performance_Before,Student_Performance_After
Sunshine School,Uttar Pradesh,School,AI Grading,Assessment,2023,42,75,70,83
GreenField University,Karnataka,School,Smart Tutor,Learning Support,2021,43,75,70,79
Harmony School,Rajasthan,School,Chatbot,Student Support,2022,52,95,64,78
Skyline College,Tamil Nadu,College,AI Grading,Assessment,2022,41,81,62,73
LMN High School,Uttar Pradesh,School,Smart Tutor,Learning Support,2023,90,78,72,83
Inspire School,Haryana,University,Chatbot,Student Support,2021,85,78,56,69
Sunshine School,Gujarat,University,Smart Tutor,Learning Support,2023,76,73,73,88
XYZ College,Punjab,School,Predictive Analysis,Performance Analytics,2023,47,84,55,70
LMN High School,Kerala,College,AI Grading,Assessment,2021,81,80,59,68
BlueSky University,Assam,University,Smart Tutor,Learning Support,2022,56,83,72,85
LMN High School,Kerala,School,Chatbot,Student Support,2021,89,84,60,68
ABC School,Haryana,University,Predictive Analysis,Performance Analytics,2023,86,74,66,81
Inspire School,Assam,School,Chatbot,Student Support,2023,65,83,61,68
XYZ College,Punjab,University,Chatbot,Student Support,2021,83,94,66,72
NextGen College,Maharashtra,College,AI Grading,Assessment,2021,52,73,57,67
Vision Institute,Odisha,School,Chatbot,Student Support,2021,42,88,74,85
FutureEdge College,Haryana,School,Smart Tutor,Learning Support,2022,70,90,60,71
LMN High School,Odisha,School,Smart Tutor,Learning Support,2022,68,92,75,89
ABC School,Delhi,University,Predictive Analysis,Performance Analytics,2023,53,77,65,78
FutureEdge College,Madhya Pradesh,School,Chatbot,Student Support,2021,49,74,71,79
Sunshine School,Delhi,College,Predictive Analysis,Performance Analytics,2021,40,95,57,63
Sunshine School,Delhi,School,Predictive Analysis,Performance Analytics,2023,84,94,65,70
Harmony School,Maharashtra,School,Smart Tutor,Learning Support,2023,49,70,58,68
TechRise University,Tamil Nadu,College,Predictive Analysis,Performance Analytics,2021,69,80,59,74
Sunshine School,Haryana,College,AI Grading,Assessment,2022,77,85,61,72
Inspire School,Haryana,University,AI Grading,Assessment,2023,76,85,65,80
Vision Institute,Odisha,School,Chatbot,Student Support,2021,43,73,58,66
Vision Institute,Odisha,University,AI Grading,Assessment,2022,70,71,66,78
XYZ College,Kerala,University,AI Grading,Assessment,2023,86,80,64,77
Harmony School,Gujarat,College,Smart Tutor,Learning Support,2022,59,93,73,88
GreenField University,Gujarat,College,Predictive Analysis,Performance Analytics,2022,89,84,71,83
Vision Institute,Delhi,University,Predictive Analysis,Performance Analytics,2023,54,76,67,82
BlueSky University,Punjab,University,Smart Tutor,Learning Support,2022,74,71,73,82
NextGen College,Delhi,College,Predictive Analysis,Performance Analytics,2022,70,85,73,86
NextGen College,Rajasthan,School,Smart Tutor,Learning Support,2023,84,77,58,71
FutureEdge College,Gujarat,University,Chatbot,Student Support,2023,53,75,72,85
BlueSky University,Karnataka,College,AI Grading,Assessment,2023,42,89,68,75
NextGen College,Maharashtra,College,Predictive Analysis,Performance Analytics,2021,81,76,58,71
Skyline College,Rajasthan,University,AI Grading,Assessment,2021,79,72,65,71
Harmony School,Tamil Nadu,College,AI Grading,Assessment,2023,65,73,59,69
NextGen College,Madhya Pradesh,School,Predictive Analysis,Performance Analytics,2022,81,88,75,87
Harmony School,Odisha,School,Smart Tutor,Learning Support,2021,86,95,62,68
XYZ College,Odisha,College,Smart Tutor,Learning Support,2023,55,88,65,71
FutureEdge College,Rajasthan,School,Chatbot,Student Support,2023,65,83,55,65
